	V1	V2	V3	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_pvalue	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_HR	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_CI_low	c("", "Users", "junninghu", "Documents", "Cancer-Hallmark-Gene-Analysis", "mRNA", "scaled", "expression.txt")_CI_high	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107
49	BAX	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
50	BCAM	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	1																																																																																																							
51	BCAP31	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
52	BCAP31	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
53	BCL10	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
54	BCL2L1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
55	BCL2L10	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.																																																																																																								
56	BCL2L11	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
57	BCL2L2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
58	BCL3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
59	BGN	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
60	BID	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
61	BIK	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
62	BIRC3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
63	BIRC5	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
64	BIRC5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
65	BLCAP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
66	BMF	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
67	BMP2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
68	BMP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
69	BNIP3L	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
70	BOLA2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.																																																																																																								
71	BRCA1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
72	BRCA1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
73	BRCA2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
74	BRCA2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
75	BRF2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
76	BRMS1L	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
77	BTG1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
78	BTG2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
79	BTG2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
80	BTG3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
81	BUB1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
82	BUB1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
83	BUB3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
84	CANT1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
85	CASP1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
86	CASP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
87	CASP2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
88	CASP3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
89	CASP4	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
90	CASP6	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
91	CASP7	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
92	CASP8	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
93	CASP8AP2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
94	CASP9	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
95	CAV1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
96	CBX1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
97	CBX5	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
98	CCNA1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.																																																																																																								
99	CCNA2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
100	CCNB2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
101	CCNB2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
102	CCND1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
103	CCND1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
104	CCND2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
105	CCND2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
106	CCND3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
107	CCNE1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
108	CCNF	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
109	CCNG1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
110	CCNK	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
111	CCNO	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	1																																																																																																							
112	CCNT1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
113	CCP110	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
114	CCP110	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
115	CD14	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
116	CD2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.																																																																																																								
117	CD38	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
118	CD44	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
119	CD69	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
120	CD81	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
121	CD82	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
122	CDA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	1																																																																																																							
123	CDC20	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
124	CDC20	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
125	CDC25A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
126	CDC25A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
127	CDC25B	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
128	CDC25B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
129	CDC25B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
130	CDC27	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
131	CDC45	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
132	CDC6	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
133	CDC7	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
134	CDCA3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
135	CDCA8	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
136	CDH13	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
137	CDK1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
138	CDK1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
139	CDK2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
140	CDK4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
141	CDK4	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
142	CDK5R1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
143	CDKN1A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
144	CDKN1A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
145	CDKN1A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
146	CDKN1B	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
147	CDKN1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
148	CDKN1B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
149	CDKN2A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
150	CDKN2A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
151	CDKN2AIP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
152	CDKN2B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
153	CDKN2C	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
154	CDKN2C	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
155	CDKN3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
156	CDKN3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
157	CEBPA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
158	CENPA	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
159	CENPE	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
160	CENPE	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
161	CENPF	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
162	CENPM	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
163	CETN2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
164	CFLAR	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
165	CGRRF1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	0	0	Inf																																																																																																				
166	CHAF1A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
167	CHEK1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
168	CHEK1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
169	CHEK2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
170	CHMP1A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
171	CIT	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
172	CKS1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	0	0	Inf																																																																																																				
173	CKS1B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	0	0	Inf																																																																																																				
174	CKS2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
175	CKS2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	1																																																																																																							
176	CLCA2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
177	CLP1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
178	CLU	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
179	CMPK2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
180	CNOT9	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
181	COQ8A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
182	COX17	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	1																																																																																																							
183	CREBBP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
184	CSE1L	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	1																																																																																																							
185	CSRNP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
186	CSTF3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.	0.317310507862914	0	0	Inf																																																																																																				
187	CTCF	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
188	CTCF	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
189	CTH	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	1																																																																																																							
190	CTNNB1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.	0.317310507862914	0	0	Inf																																																																																																				
191	CTPS1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
192	CTSD	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
193	CTSF	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.	1																																																																																																							
194	CUL1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.	0.317310507862914	1615474875.2	0	Inf																																																																																																				
